date,health_authority,Women,Men
2015-01-01,All B.C.,0.8723783213987134,2.2726189734360167
2015-01-01,Fraser,2.1251168814284784,5.476587242302812
2015-01-01,Interior,2.317174900361479,9.867665211734252
2015-01-01,Island,2.6177680068548126,6.816543931504496
2015-01-01,Northern,,5.924619096363929
2015-01-01,VCH,3.6715133702748766,4.070127498739058
2015-02-01,All B.C.,0.3634909672494639,1.3689160238465172
2015-02-01,Fraser,1.6341570873553088,4.241721755424139
2015-02-01,Interior,2.6273785986876246,3.0315248266725683
2015-02-01,Island,,9.543161504106294
2015-02-01,Northern,,11.751725218549446
2015-02-01,VCH,1.0719161975916722,3.4886807132049076
2015-03-01,All B.C.,0.5088873541492493,1.316265407544728
2015-03-01,Fraser,1.6341570873553088,7.667222139223937
2015-03-01,Interior,2.462546211218745,2.6349026227820707
2015-03-01,Island,3.2224058482062707,5.2272836695531355
2015-03-01,Northern,4.800307219662058,
2015-03-01,VCH,,3.4886807132049076
2015-04-01,All B.C.,0.2903392115963141,1.1414487521217207
2015-04-01,Fraser,2.178876116473745,2.744786769017588
2015-04-01,Interior,3.1420850876641744,5.638665835276716
2015-04-01,Island,,3.6216808828561953
2015-04-01,Northern,,5.924619096363929
2015-04-01,VCH,1.2051977164516268,4.65157428427321
2015-05-01,All B.C.,0.4361891606993567,1.8427715705626193
2015-05-01,Fraser,1.1177129226680727,7.210926984221037
2015-05-01,Interior,,4.228999376457536
2015-05-01,Island,2.2041846445476736,6.816543931504496
2015-05-01,Northern,,5.875862609274723
2015-05-01,VCH,2.0980076401570726,5.233021069807362
2015-06-01,All B.C.,0.5088873541492493,1.4215666401483062
2015-06-01,Fraser,1.6341570873553088,3.817549579881726
2015-06-01,Interior,,7.0483322940958955
2015-06-01,Island,3.9266520102822184,5.453235145203596
2015-06-01,VCH,1.0270504548806465,5.233021069807362
2015-07-01,All B.C.,0.3550316865780271,1.395104030370992
2015-07-01,Fraser,1.183600587251554,7.119563414993656
2015-07-01,Interior,,3.865415259950787
2015-07-01,Island,2.6177680068548126,2.536360056333892
2015-07-01,Northern,,9.314552435755463
2015-07-01,VCH,2.054100909761293,5.649911058639941
2015-08-01,All B.C.,0.7269819344989278,1.8178628274531108
2015-08-01,Fraser,2.178876116473745,8.907615686390693
2015-08-01,Interior,2.317174900361479,2.5139531382375346
2015-08-01,Island,6.4448116964125415,5.072720112667784
2015-08-01,Northern,,5.924619096363929
2015-08-01,VCH,1.5735057301178046,5.316940753224933
2015-09-01,All B.C.,0.7269819344989278,2.106024652071565
2015-09-01,Fraser,2.178876116473745,7.667222139223937
2015-09-01,Interior,2.317174900361479,4.9150978288784115
2015-09-01,Island,2.2041846445476736,6.816543931504496
2015-09-01,Northern,5.14615067929189,8.886928644545893
2015-09-01,VCH,1.5735057301178046,6.084519601612244
2015-10-01,All B.C.,0.8723783213987134,2.158675268373354
2015-10-01,Fraser,3.8130332038290535,7.667222139223937
2015-10-01,Interior,2.6273785986876246,7.541859414712604
2015-10-01,Island,,8.179852717805396
2015-10-01,Northern,,17.922574478253942
2015-10-01,VCH,2.0980076401570726,5.233021069807362
2015-11-01,All B.C.,0.4361891606993567,1.9446904665777465
2015-11-01,Fraser,1.0894380582368726,5.184597230366554
2015-11-01,Interior,2.6273785986876246,2.819332917638358
2015-11-01,Island,2.6177680068548126,4.089926358902698
2015-11-01,Northern,,8.886928644545893
2015-11-01,VCH,1.0719161975916722,9.126779402418366
2015-12-01,All B.C.,1.235869288648177,2.579880198787667
2015-12-01,Fraser,4.9024712620659265,8.214880863454217
2015-12-01,Interior,4.634349800722958,8.379843794125115
2015-12-01,Island,3.9266520102822184,8.14878198642644
2015-12-01,Northern,4.800307219662058,11.948382985502628
2015-12-01,VCH,2.054100909761293,5.649911058639941
2016-01-01,All B.C.,0.6970219736177182,3.6702160930187837
2016-01-01,Fraser,2.066563120148325,10.111465962852218
2016-01-01,Interior,4.895677864396522,21.739421263160715
2016-01-01,Island,2.352528330812534,10.972519163199927
